C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.66,2.49,0.04,0,0,0,2.47,1.8,12,0,3,3,3,91,0,0,AF,6.937390,5.36160,0.64958,100.0000,0.05506,0.000038,113.00366,0,6,5,1,88,0,0,100,,0.150500,0.150500,6.937390,5.36160,0.64958,100.0000,0.05506,0.000038,113.15416
3.66,2.49,0.04,0,0,0,2.47,1.8,24,0,2,4,3,91,0,0,AF,6.415215,4.73595,0.44836,100.0000,0.05374,0.000061,111.65332,0,6,4,0,90,0,0,100,,0.096786,0.096786,6.415215,4.73595,0.44836,100.0000,0.05374,0.000061,111.75011
3.2,2.38,0.04,0,0,0,2.73,1.81,3,0,1,33,2,64,0,0,AF,7.001061,9.02560,0.68397,100.0000,0.03421,0.000044,116.74488,0,6,8,1,86,0,0,100,,0.158734,0.158734,7.001061,9.02560,0.68397,100.0000,0.03421,0.000044,116.90362
3.2,2.38,0.04,0,0,0,2.73,1.81,6,0,2,16,3,79,0,0,AF,7.155556,5.67072,0.61883,100.0000,0.03714,0.000046,113.48229,0,6,5,1,88,0,0,100,,0.170336,0.170336,7.155556,5.67072,0.61883,100.0000,0.03714,0.000046,113.65263
3.2,2.38,0.04,0,0,0,2.73,1.81,12,0,3,4,4,89,0,0,AF,7.049806,4.72752,0.52205,100.0000,0.03732,0.000056,112.33676,0,6,4,0,89,0,0,100,,0.145945,0.145945,7.049806,4.72752,0.52205,100.0000,0.03732,0.000056,112.48270
3.2,2.38,0.04,0,0,0,2.73,1.81,24,0,3,3,5,89,0,0,AF,6.541332,4.32402,0.35473,100.0000,0.03673,0.000103,111.25692,0,6,4,0,90,0,0,100,,0.086166,0.086166,6.541332,4.32402,0.35473,100.0000,0.03673,0.000103,111.34309
4.24,2.35,0.03,0,0,1.02,0,1.4,3,0,20,20,0,60,0,0,AF,7.860315,45.61417,0.10250,100.0000,0.05150,0.000058,153.62854,0,5,30,0,65,0,0,100,,0.101363,0.101363,7.860315,45.61417,0.10250,100.0000,0.05150,0.000058,153.72990
4.24,2.35,0.03,0,0,1.02,0,1.4,6,0,12,12,0,76,0,0,AF,8.851386,17.88308,0.07023,100.0000,0.07336,0.000054,126.87811,0,7,14,0,79,0,0,100,,0.184681,0.184681,8.851386,17.88308,0.07023,100.0000,0.07336,0.000054,127.06280
4.24,2.35,0.03,0,0,1.02,0,1.4,12,0,10,6,0,84,0,0,AF,9.097223,8.43912,0.03734,100.0000,0.08073,0.000058,117.65447,0,8,7,0,85,0,0,100,,0.224118,0.224118,9.097223,8.43912,0.03734,100.0000,0.08073,0.000058,117.87859
4.24,2.35,0.03,0,0,1.02,0,1.4,24,0,12,5,0,83,0,0,AF,8.392819,6.96222,0.01067,100.0000,0.07420,0.000088,115.43999,0,7,6,0,87,0,0,100,,0.177853,0.177853,8.392819,6.96222,0.01067,100.0000,0.07420,0.000088,115.61785
3.95,2.12,0.04,0,0,2.05,0,1.39,3,0,0,18,0,82,0,0,AF,2.979035,13.82424,0.00723,100.0000,0.12951,0.001092,116.94111,0,3,12,0,86,0,0,100,,0.027503,0.027503,2.979035,13.82424,0.00723,100.0000,0.12951,0.001092,116.96862
3.95,2.12,0.04,0,0,2.05,0,1.39,6,0,0,6,0,94,0,0,AF,3.028387,7.46786,0.00480,100.0000,0.14375,0.001134,110.64593,0,3,7,0,90,0,0,100,,0.031406,0.031406,3.028387,7.46786,0.00480,100.0000,0.14375,0.001134,110.67734
3.95,2.12,0.04,0,0,2.05,0,1.39,12,0,0,3,0,97,0,0,AF,2.920433,5.74266,0.00221,100.0000,0.14378,0.001361,108.81044,0,3,5,0,92,0,0,100,,0.027967,0.027967,2.920433,5.74266,0.00221,100.0000,0.14378,0.001361,108.83841
